domain,algorithm,variant,fault,group,rule,pool,n_selected,n_relevant,relevance_pct,chance_pct,lift
robotics,GES,RBF + Ridge,LedsControl,,top10,32,10,2,20.0,6.25,3.2
robotics,GES,RBF + Ridge,LedsControl,,std1,32,4,2,50.0,6.25,8.0
robotics,GES,RBF + Ridge,WheelsControl,,top3,32,3,0,0.0,9.38,0.0
robotics,GES,RBF + Ridge,WheelsControl,,top5,32,5,1,20.0,9.38,2.13
robotics,GES,RBF + Ridge,WheelsControl,,top10,32,10,2,20.0,9.38,2.13
robotics,GES,RBF + Ridge,WheelsControl,,std1,32,4,1,25.0,9.38,2.67
healthcare,PCMCI,Linear / Ridge,Attack_1,MI,top3,12,3,1,33.33,25.0,1.33
healthcare,PCMCI,Linear / Ridge,Attack_1,MI,top5,12,5,2,40.0,25.0,1.6
healthcare,PCMCI,Linear / Ridge,Attack_1,MI,top10,12,10,3,30.0,25.0,1.2
healthcare,PCMCI,Linear / Ridge,Attack_1,MI,std1,12,4,2,50.0,25.0,2.0
healthcare,PCMCI,Linear / Ridge,Attack_10,CD,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_10,CD,top5,12,5,1,20.0,25.0,0.8
healthcare,PCMCI,Linear / Ridge,Attack_10,CD,top10,12,10,3,30.0,25.0,1.2
healthcare,PCMCI,Linear / Ridge,Attack_10,CD,std1,12,2,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_11,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_11,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_11,RHYTHM,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,Linear / Ridge,Attack_11,RHYTHM,std1,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_12,MI,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_12,MI,top5,12,5,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_12,MI,top10,12,10,1,10.0,25.0,0.4
healthcare,PCMCI,Linear / Ridge,Attack_12,MI,std1,12,1,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_13,CD,top3,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,Linear / Ridge,Attack_13,CD,top5,12,5,0,0.0,16.67,0.0
healthcare,PCMCI,Linear / Ridge,Attack_13,CD,top10,12,10,1,10.0,16.67,0.6
healthcare,PCMCI,Linear / Ridge,Attack_13,CD,std1,12,1,0,0.0,16.67,0.0
healthcare,PCMCI,Linear / Ridge,Attack_14,CD,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_14,CD,top5,12,5,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_14,CD,top10,12,10,1,10.0,25.0,0.4
healthcare,PCMCI,Linear / Ridge,Attack_14,CD,std1,12,2,0,0.0,25.0,0.0
healthcare,PCMCI,Linear / Ridge,Attack_17,MI,top3,12,3,1,33.33,33.33,1.0
healthcare,PCMCI,Linear / Ridge,Attack_17,MI,top5,12,5,2,40.0,33.33,1.2
healthcare,PCMCI,Linear / Ridge,Attack_17,MI,top10,12,10,4,40.0,33.33,1.2
healthcare,PCMCI,Linear / Ridge,Attack_17,MI,std1,12,2,1,50.0,33.33,1.5
healthcare,PCMCI,Linear / Ridge,Attack_18,CD,top3,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,Linear / Ridge,Attack_18,CD,top5,12,5,1,20.0,16.67,1.2
healthcare,PCMCI,Linear / Ridge,Attack_18,CD,top10,12,10,2,20.0,16.67,1.2
healthcare,PCMCI,Linear / Ridge,Attack_18,CD,std1,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,Linear / Ridge,Attack_2,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_2,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_2,RHYTHM,top10,12,10,2,20.0,33.33,0.6
healthcare,PCMCI,Linear / Ridge,Attack_2,RHYTHM,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_20,MI,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_20,MI,top5,12,5,1,20.0,33.33,0.6
healthcare,PCMCI,Linear / Ridge,Attack_20,MI,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,Linear / Ridge,Attack_20,MI,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_3,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_3,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_3,RHYTHM,top10,12,10,2,20.0,33.33,0.6
healthcare,PCMCI,Linear / Ridge,Attack_3,RHYTHM,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_4,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_4,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,Linear / Ridge,Attack_4,RHYTHM,top10,12,10,3,30.0,33.33,0.9
