Dataset,Model,Model Variant,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC_ROC,AUC_PR
Industrial (TEP),PCMCI,Linear / Ridge,0.194261,12536,40,756,3384,0.7952,0.9968,0.7874,0.8798,0.8860,0.9940
Industrial (TEP),PCMCI,Polynomial degree 3,0.217232,12598,40,756,3322,0.7989,0.9968,0.7913,0.8823,0.9151,0.9956
Industrial (TEP),PCMCI,RBF + Ridge,0.347456,11738,40,756,4182,0.7474,0.9966,0.7373,0.8476,0.8495,0.9920
