Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_2,20,XMV_4,4.091732
Industrial (TEP),Linear / Ridge,Fault_2,21,XMEAS_9,3.145092
Industrial (TEP),Linear / Ridge,Fault_2,22,XMV_1,2.386833
Industrial (TEP),Linear / Ridge,Fault_2,23,XMEAS_7,2.382446
Industrial (TEP),Linear / Ridge,Fault_2,24,XMEAS_27,2.343849
Industrial (TEP),Linear / Ridge,Fault_2,25,XMV_6,2.341262
Industrial (TEP),Linear / Ridge,Fault_2,26,XMEAS_13,2.271066
Industrial (TEP),Linear / Ridge,Fault_2,27,XMEAS_19,1.785467
Industrial (TEP),Linear / Ridge,Fault_2,28,XMEAS_36,1.665809
Industrial (TEP),Linear / Ridge,Fault_2,29,XMEAS_33,1.611623
Industrial (TEP),Linear / Ridge,Fault_2,30,XMEAS_8,1.558988
Industrial (TEP),Linear / Ridge,Fault_2,31,XMEAS_31,1.552007
Industrial (TEP),Linear / Ridge,Fault_2,32,XMEAS_29,1.539754
Industrial (TEP),Linear / Ridge,Fault_2,33,XMEAS_38,1.521551
Industrial (TEP),Linear / Ridge,Fault_2,34,XMEAS_37,1.480731
Industrial (TEP),Linear / Ridge,Fault_2,35,XMEAS_5,1.431865
Industrial (TEP),Linear / Ridge,Fault_2,36,XMEAS_2,1.377150
Industrial (TEP),Linear / Ridge,Fault_2,37,XMEAS_25,1.301537
Industrial (TEP),Linear / Ridge,Fault_2,38,XMEAS_35,1.289525
Industrial (TEP),Linear / Ridge,Fault_2,39,XMV_10,1.270883
Industrial (TEP),Linear / Ridge,Fault_2,40,XMEAS_23,1.254815
Industrial (TEP),Linear / Ridge,Fault_2,41,XMV_3,1.159388
Industrial (TEP),Linear / Ridge,Fault_2,42,XMEAS_1,1.098142
Industrial (TEP),Linear / Ridge,Fault_2,43,XMEAS_12,1.086243
Industrial (TEP),Linear / Ridge,Fault_2,44,XMV_7,1.085203
Industrial (TEP),Linear / Ridge,Fault_2,45,XMEAS_15,1.079708
Industrial (TEP),Linear / Ridge,Fault_2,46,XMV_8,1.078620
Industrial (TEP),Linear / Ridge,Fault_2,47,XMEAS_32,1.058605
Industrial (TEP),Linear / Ridge,Fault_2,48,XMEAS_41,0.946457
Industrial (TEP),Linear / Ridge,Fault_2,49,XMEAS_26,0.691440
Industrial (TEP),Linear / Ridge,Fault_2,50,XMEAS_14,0.620911
Industrial (TEP),Linear / Ridge,Fault_2,51,XMEAS_40,0.537598
Industrial (TEP),Linear / Ridge,Fault_2,52,XMEAS_6,0.333709
Industrial (TEP),Linear / Ridge,Fault_3,1,XMEAS_20,6.576190
Industrial (TEP),Linear / Ridge,Fault_3,2,XMV_9,3.641747
Industrial (TEP),Linear / Ridge,Fault_3,3,XMV_5,3.264506
Industrial (TEP),Linear / Ridge,Fault_3,4,XMEAS_21,2.575545
Industrial (TEP),Linear / Ridge,Fault_3,5,XMEAS_27,2.375064
Industrial (TEP),Linear / Ridge,Fault_3,6,XMEAS_29,2.335171
Industrial (TEP),Linear / Ridge,Fault_3,7,XMEAS_16,1.980942
Industrial (TEP),Linear / Ridge,Fault_3,8,XMEAS_30,1.954728
Industrial (TEP),Linear / Ridge,Fault_3,9,XMEAS_19,1.787808
Industrial (TEP),Linear / Ridge,Fault_3,10,XMEAS_1,1.708927
Industrial (TEP),Linear / Ridge,Fault_3,11,XMEAS_18,1.594941
Industrial (TEP),Linear / Ridge,Fault_3,12,XMEAS_13,1.521361
Industrial (TEP),Linear / Ridge,Fault_3,13,XMV_6,1.518168
Industrial (TEP),Linear / Ridge,Fault_3,14,XMEAS_33,1.500401
Industrial (TEP),Linear / Ridge,Fault_3,15,XMEAS_3,1.445301
Industrial (TEP),Linear / Ridge,Fault_3,16,XMV_10,1.405152
Industrial (TEP),Linear / Ridge,Fault_3,17,XMEAS_5,1.401844
Industrial (TEP),Linear / Ridge,Fault_3,18,XMV_4,1.386828
Industrial (TEP),Linear / Ridge,Fault_3,19,XMEAS_37,1.370674
Industrial (TEP),Linear / Ridge,Fault_3,20,XMEAS_25,1.308540
Industrial (TEP),Linear / Ridge,Fault_3,21,XMEAS_10,1.279055
Industrial (TEP),Linear / Ridge,Fault_3,22,XMEAS_39,1.264452
Industrial (TEP),Linear / Ridge,Fault_3,23,XMV_3,1.243872
Industrial (TEP),Linear / Ridge,Fault_3,24,XMV_11,1.199979
Industrial (TEP),Linear / Ridge,Fault_3,25,XMV_1,1.192167
Industrial (TEP),Linear / Ridge,Fault_3,26,XMEAS_34,1.153020
Industrial (TEP),Linear / Ridge,Fault_3,27,XMEAS_23,1.149833
Industrial (TEP),Linear / Ridge,Fault_3,28,XMEAS_17,1.112194
Industrial (TEP),Linear / Ridge,Fault_3,29,XMV_7,1.086262
Industrial (TEP),Linear / Ridge,Fault_3,30,XMEAS_12,1.084694
Industrial (TEP),Linear / Ridge,Fault_3,31,XMV_8,1.077225
Industrial (TEP),Linear / Ridge,Fault_3,32,XMEAS_15,1.075485
Industrial (TEP),Linear / Ridge,Fault_3,33,XMEAS_24,0.947061
Industrial (TEP),Linear / Ridge,Fault_3,34,XMEAS_36,0.898658
Industrial (TEP),Linear / Ridge,Fault_3,35,XMEAS_41,0.881920
Industrial (TEP),Linear / Ridge,Fault_3,36,XMEAS_4,0.852223
Industrial (TEP),Linear / Ridge,Fault_3,37,XMEAS_11,0.842193
Industrial (TEP),Linear / Ridge,Fault_3,38,XMV_2,0.818467
Industrial (TEP),Linear / Ridge,Fault_3,39,XMEAS_22,0.809088
Industrial (TEP),Linear / Ridge,Fault_3,40,XMEAS_28,0.767941
Industrial (TEP),Linear / Ridge,Fault_3,41,XMEAS_32,0.757248
Industrial (TEP),Linear / Ridge,Fault_3,42,XMEAS_8,0.747562
Industrial (TEP),Linear / Ridge,Fault_3,43,XMEAS_35,0.744007
Industrial (TEP),Linear / Ridge,Fault_3,44,XMEAS_14,0.698950
Industrial (TEP),Linear / Ridge,Fault_3,45,XMEAS_26,0.680734
Industrial (TEP),Linear / Ridge,Fault_3,46,XMEAS_38,0.646164
Industrial (TEP),Linear / Ridge,Fault_3,47,XMEAS_6,0.631451
Industrial (TEP),Linear / Ridge,Fault_3,48,XMEAS_31,0.619076
Industrial (TEP),Linear / Ridge,Fault_3,49,XMEAS_2,0.606768
Industrial (TEP),Linear / Ridge,Fault_3,50,XMEAS_9,0.569211
Industrial (TEP),Linear / Ridge,Fault_3,51,XMEAS_40,0.510616
Industrial (TEP),Linear / Ridge,Fault_3,52,XMEAS_7,0.486878
Industrial (TEP),Linear / Ridge,Fault_4,1,XMV_10,40.190436
Industrial (TEP),Linear / Ridge,Fault_4,2,XMEAS_20,6.574956
Industrial (TEP),Linear / Ridge,Fault_4,3,XMV_9,3.719316
Industrial (TEP),Linear / Ridge,Fault_4,4,XMV_5,3.351886
Industrial (TEP),Linear / Ridge,Fault_4,5,XMEAS_27,2.378420
Industrial (TEP),Linear / Ridge,Fault_4,6,XMEAS_29,2.363181
Industrial (TEP),Linear / Ridge,Fault_4,7,XMEAS_16,2.032464
Industrial (TEP),Linear / Ridge,Fault_4,8,XMEAS_30,1.999022
Industrial (TEP),Linear / Ridge,Fault_4,9,XMEAS_19,1.787464
Industrial (TEP),Linear / Ridge,Fault_4,10,XMEAS_1,1.721816
Industrial (TEP),Linear / Ridge,Fault_4,11,XMEAS_18,1.597890
Industrial (TEP),Linear / Ridge,Fault_4,12,XMEAS_13,1.538563
Industrial (TEP),Linear / Ridge,Fault_4,13,XMEAS_33,1.528769
Industrial (TEP),Linear / Ridge,Fault_4,14,XMV_6,1.525337
Industrial (TEP),Linear / Ridge,Fault_4,15,XMEAS_3,1.417637
Industrial (TEP),Linear / Ridge,Fault_4,16,XMEAS_5,1.401526
Industrial (TEP),Linear / Ridge,Fault_4,17,XMV_4,1.387111
Industrial (TEP),Linear / Ridge,Fault_4,18,XMEAS_37,1.369414
Industrial (TEP),Linear / Ridge,Fault_4,19,XMV_1,1.333007
Industrial (TEP),Linear / Ridge,Fault_4,20,XMEAS_25,1.316925
Industrial (TEP),Linear / Ridge,Fault_4,21,XMEAS_10,1.303303
Industrial (TEP),Linear / Ridge,Fault_4,22,XMEAS_21,1.276422
Industrial (TEP),Linear / Ridge,Fault_4,23,XMEAS_39,1.258004
Industrial (TEP),Linear / Ridge,Fault_4,24,XMV_3,1.244764
Industrial (TEP),Linear / Ridge,Fault_4,25,XMV_11,1.201760
Industrial (TEP),Linear / Ridge,Fault_4,26,XMEAS_34,1.178877
Industrial (TEP),Linear / Ridge,Fault_4,27,XMEAS_23,1.158010
Industrial (TEP),Linear / Ridge,Fault_4,28,XMEAS_17,1.105147
Industrial (TEP),Linear / Ridge,Fault_4,29,XMV_7,1.085984
Industrial (TEP),Linear / Ridge,Fault_4,30,XMEAS_12,1.084993
Industrial (TEP),Linear / Ridge,Fault_4,31,XMEAS_15,1.077206
Industrial (TEP),Linear / Ridge,Fault_4,32,XMV_8,1.075477
Industrial (TEP),Linear / Ridge,Fault_4,33,XMEAS_24,0.941249
Industrial (TEP),Linear / Ridge,Fault_4,34,XMEAS_36,0.896304
Industrial (TEP),Linear / Ridge,Fault_4,35,XMEAS_41,0.883719
Industrial (TEP),Linear / Ridge,Fault_4,36,XMEAS_4,0.858490
Industrial (TEP),Linear / Ridge,Fault_4,37,XMEAS_11,0.852514
Industrial (TEP),Linear / Ridge,Fault_4,38,XMV_2,0.825899
Industrial (TEP),Linear / Ridge,Fault_4,39,XMEAS_22,0.807130
Industrial (TEP),Linear / Ridge,Fault_4,40,XMEAS_28,0.772780
Industrial (TEP),Linear / Ridge,Fault_4,41,XMEAS_35,0.761198
