Dataset,Model,Model Variant,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC_ROC,AUC_PR
Healthcare (ECG),PCMCI,Linear / Ridge,0.026847,749,98,1848,2111,0.5404,0.8843,0.2619,0.4041,0.6401,0.7631
Healthcare (ECG),PCMCI,Polynomial degree 3,0.046758,640,98,1848,2220,0.5177,0.8672,0.2238,0.3558,0.6355,0.7522
Healthcare (ECG),PCMCI,RBF + Ridge,0.032167,1115,98,1848,1745,0.6165,0.9192,0.3899,0.5475,0.7034,0.8125
