Dataset,Model,Model Variant,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC_ROC,AUC_PR
Healthcare (ECG),PCMCI,Linear / Ridge,0.026087,525,98,1848,2335,0.4938,0.8427,0.1836,0.3015,0.6181,0.7360
Healthcare (ECG),PCMCI,Polynomial degree 3,0.049645,180,98,1848,2680,0.4220,0.6475,0.0629,0.1147,0.5075,0.6198
Healthcare (ECG),PCMCI,RBF + Ridge,0.033672,1041,98,1848,1819,0.6011,0.9140,0.3640,0.5206,0.7147,0.8218
