Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_7,8,V4,1.016724
Healthcare (ECG),Linear / Ridge,Attack_7,9,AVL,0.909993
Healthcare (ECG),Linear / Ridge,Attack_7,10,V5,0.838132
Healthcare (ECG),Linear / Ridge,Attack_7,11,III,0.636107
Healthcare (ECG),Linear / Ridge,Attack_7,12,AVF,0.492455
Healthcare (ECG),Linear / Ridge,Attack_8,1,V4,1.960424
Healthcare (ECG),Linear / Ridge,Attack_8,2,V3,1.927805
Healthcare (ECG),Linear / Ridge,Attack_8,3,AVL,1.589276
Healthcare (ECG),Linear / Ridge,Attack_8,4,III,1.183418
Healthcare (ECG),Linear / Ridge,Attack_8,5,V2,1.182546
Healthcare (ECG),Linear / Ridge,Attack_8,6,AVR,1.060031
Healthcare (ECG),Linear / Ridge,Attack_8,7,V5,1.055608
Healthcare (ECG),Linear / Ridge,Attack_8,8,I,1.009121
Healthcare (ECG),Linear / Ridge,Attack_8,9,V6,0.902656
Healthcare (ECG),Linear / Ridge,Attack_8,10,V1,0.785195
Healthcare (ECG),Linear / Ridge,Attack_8,11,II,0.498248
Healthcare (ECG),Linear / Ridge,Attack_8,12,AVF,0.303596
Healthcare (ECG),Linear / Ridge,Attack_9,1,V6,1.816995
Healthcare (ECG),Linear / Ridge,Attack_9,2,V5,1.782299
Healthcare (ECG),Linear / Ridge,Attack_9,3,V3,1.752094
Healthcare (ECG),Linear / Ridge,Attack_9,4,II,1.398051
Healthcare (ECG),Linear / Ridge,Attack_9,5,V2,1.333088
Healthcare (ECG),Linear / Ridge,Attack_9,6,AVR,1.221830
Healthcare (ECG),Linear / Ridge,Attack_9,7,III,1.143669
Healthcare (ECG),Linear / Ridge,Attack_9,8,V4,1.050795
Healthcare (ECG),Linear / Ridge,Attack_9,9,I,0.964554
Healthcare (ECG),Linear / Ridge,Attack_9,10,AVF,0.919785
Healthcare (ECG),Linear / Ridge,Attack_9,11,V1,0.822945
Healthcare (ECG),Linear / Ridge,Attack_9,12,AVL,0.646407
Healthcare (ECG),Linear / Ridge,Attack_10,1,V1,3.380769
Healthcare (ECG),Linear / Ridge,Attack_10,2,V2,2.643308
Healthcare (ECG),Linear / Ridge,Attack_10,3,V3,2.098297
Healthcare (ECG),Linear / Ridge,Attack_10,4,V6,1.172466
Healthcare (ECG),Linear / Ridge,Attack_10,5,AVF,1.146848
Healthcare (ECG),Linear / Ridge,Attack_10,6,II,1.080345
Healthcare (ECG),Linear / Ridge,Attack_10,7,AVR,1.072520
Healthcare (ECG),Linear / Ridge,Attack_10,8,III,0.985686
Healthcare (ECG),Linear / Ridge,Attack_10,9,V4,0.979046
Healthcare (ECG),Linear / Ridge,Attack_10,10,AVL,0.935711
Healthcare (ECG),Linear / Ridge,Attack_10,11,V5,0.919357
Healthcare (ECG),Linear / Ridge,Attack_10,12,I,0.742172
Healthcare (ECG),Linear / Ridge,Attack_11,1,AVL,1.228272
Healthcare (ECG),Linear / Ridge,Attack_11,2,AVR,1.206929
Healthcare (ECG),Linear / Ridge,Attack_11,3,V3,1.128172
Healthcare (ECG),Linear / Ridge,Attack_11,4,I,1.002705
Healthcare (ECG),Linear / Ridge,Attack_11,5,V2,0.862539
Healthcare (ECG),Linear / Ridge,Attack_11,6,V5,0.826536
Healthcare (ECG),Linear / Ridge,Attack_11,7,V4,0.793367
Healthcare (ECG),Linear / Ridge,Attack_11,8,III,0.784413
Healthcare (ECG),Linear / Ridge,Attack_11,9,AVF,0.651965
Healthcare (ECG),Linear / Ridge,Attack_11,10,V1,0.602246
Healthcare (ECG),Linear / Ridge,Attack_11,11,II,0.596437
Healthcare (ECG),Linear / Ridge,Attack_11,12,V6,0.457267
Healthcare (ECG),Linear / Ridge,Attack_12,1,V3,1.643333
Healthcare (ECG),Linear / Ridge,Attack_12,2,AVL,1.209490
Healthcare (ECG),Linear / Ridge,Attack_12,3,V5,1.190833
Healthcare (ECG),Linear / Ridge,Attack_12,4,V4,1.156606
Healthcare (ECG),Linear / Ridge,Attack_12,5,V2,1.065287
Healthcare (ECG),Linear / Ridge,Attack_12,6,I,0.988793
Healthcare (ECG),Linear / Ridge,Attack_12,7,AVR,0.835161
Healthcare (ECG),Linear / Ridge,Attack_12,8,V6,0.823842
Healthcare (ECG),Linear / Ridge,Attack_12,9,III,0.782488
Healthcare (ECG),Linear / Ridge,Attack_12,10,V1,0.775962
Healthcare (ECG),Linear / Ridge,Attack_12,11,II,0.741614
Healthcare (ECG),Linear / Ridge,Attack_12,12,AVF,0.603026
Healthcare (ECG),Linear / Ridge,Attack_13,1,II,1.563032
Healthcare (ECG),Linear / Ridge,Attack_13,2,AVF,1.260924
Healthcare (ECG),Linear / Ridge,Attack_13,3,V4,1.245922
Healthcare (ECG),Linear / Ridge,Attack_13,4,III,1.202382
Healthcare (ECG),Linear / Ridge,Attack_13,5,AVR,1.174502
Healthcare (ECG),Linear / Ridge,Attack_13,6,AVL,1.076434
Healthcare (ECG),Linear / Ridge,Attack_13,7,V3,1.021592
Healthcare (ECG),Linear / Ridge,Attack_13,8,V2,0.868290
Healthcare (ECG),Linear / Ridge,Attack_13,9,V1,0.833376
Healthcare (ECG),Linear / Ridge,Attack_13,10,V5,0.719012
Healthcare (ECG),Linear / Ridge,Attack_13,11,I,0.535680
Healthcare (ECG),Linear / Ridge,Attack_13,12,V6,0.452228
Healthcare (ECG),Linear / Ridge,Attack_14,1,V5,1.735587
Healthcare (ECG),Linear / Ridge,Attack_14,2,V4,1.431847
Healthcare (ECG),Linear / Ridge,Attack_14,3,AVL,1.284808
Healthcare (ECG),Linear / Ridge,Attack_14,4,AVR,1.203973
Healthcare (ECG),Linear / Ridge,Attack_14,5,V3,0.963294
Healthcare (ECG),Linear / Ridge,Attack_14,6,II,0.696180
Healthcare (ECG),Linear / Ridge,Attack_14,7,III,0.673333
Healthcare (ECG),Linear / Ridge,Attack_14,8,I,0.642347
Healthcare (ECG),Linear / Ridge,Attack_14,9,V6,0.594474
Healthcare (ECG),Linear / Ridge,Attack_14,10,AVF,0.587935
Healthcare (ECG),Linear / Ridge,Attack_14,11,V1,0.196746
Healthcare (ECG),Linear / Ridge,Attack_14,12,V2,0.092104
Healthcare (ECG),Linear / Ridge,Attack_15,1,V6,1.397849
Healthcare (ECG),Linear / Ridge,Attack_15,2,AVR,1.040491
Healthcare (ECG),Linear / Ridge,Attack_15,3,AVL,0.901476
Healthcare (ECG),Linear / Ridge,Attack_15,4,II,0.819140
Healthcare (ECG),Linear / Ridge,Attack_15,5,I,0.802453
Healthcare (ECG),Linear / Ridge,Attack_15,6,AVF,0.759001
Healthcare (ECG),Linear / Ridge,Attack_15,7,V1,0.679249
Healthcare (ECG),Linear / Ridge,Attack_15,8,III,0.620300
Healthcare (ECG),Linear / Ridge,Attack_15,9,V2,0.488349
Healthcare (ECG),Linear / Ridge,Attack_15,10,V5,0.451178
Healthcare (ECG),Linear / Ridge,Attack_15,11,V4,0.367923
Healthcare (ECG),Linear / Ridge,Attack_15,12,V3,0.310884
Healthcare (ECG),Linear / Ridge,Attack_16,1,II,1.839891
Healthcare (ECG),Linear / Ridge,Attack_16,2,V3,1.712320
Healthcare (ECG),Linear / Ridge,Attack_16,3,III,1.522699
Healthcare (ECG),Linear / Ridge,Attack_16,4,AVR,1.415323
Healthcare (ECG),Linear / Ridge,Attack_16,5,V2,1.325303
