Dataset,Model,Model Variant,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC_ROC,AUC_PR
Healthcare (ECG),TS-CAM-UV,Linear / Ridge,0.034834,608,73,1382,1052,0.6388,0.8928,0.3663,0.5194,0.7861,0.8143
Healthcare (ECG),TS-CAM-UV,Polynomial degree 3,0.058254,438,73,1382,1222,0.5843,0.8571,0.2639,0.4035,0.7691,0.7906
Healthcare (ECG),TS-CAM-UV,RBF + Ridge,0.049325,513,73,1382,1147,0.6083,0.8754,0.3090,0.4568,0.7692,0.7994
