Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_9,8,I,0.620589
Healthcare (ECG),Linear / Ridge,Attack_9,9,V1,0.490601
Healthcare (ECG),Linear / Ridge,Attack_10,1,AVF,1.400731
Healthcare (ECG),Linear / Ridge,Attack_10,2,V4,1.352541
Healthcare (ECG),Linear / Ridge,Attack_10,3,V3,1.303267
Healthcare (ECG),Linear / Ridge,Attack_10,4,AVL,1.263843
Healthcare (ECG),Linear / Ridge,Attack_10,5,III,0.950814
Healthcare (ECG),Linear / Ridge,Attack_10,6,II,0.857977
Healthcare (ECG),Linear / Ridge,Attack_10,7,V6,0.779534
Healthcare (ECG),Linear / Ridge,Attack_10,8,V1,0.729492
Healthcare (ECG),Linear / Ridge,Attack_10,9,I,0.339613
Healthcare (ECG),Linear / Ridge,Attack_11,1,III,2.355059
Healthcare (ECG),Linear / Ridge,Attack_11,2,AVF,2.135225
Healthcare (ECG),Linear / Ridge,Attack_11,3,V4,1.794360
Healthcare (ECG),Linear / Ridge,Attack_11,4,I,1.496723
Healthcare (ECG),Linear / Ridge,Attack_11,5,II,1.484573
Healthcare (ECG),Linear / Ridge,Attack_11,6,AVL,1.245439
Healthcare (ECG),Linear / Ridge,Attack_11,7,V3,1.121046
Healthcare (ECG),Linear / Ridge,Attack_11,8,V6,0.832564
Healthcare (ECG),Linear / Ridge,Attack_11,9,V1,0.557854
Healthcare (ECG),Linear / Ridge,Attack_12,1,I,1.454547
Healthcare (ECG),Linear / Ridge,Attack_12,2,AVL,1.354936
Healthcare (ECG),Linear / Ridge,Attack_12,3,V6,0.853144
Healthcare (ECG),Linear / Ridge,Attack_12,4,V4,0.792117
Healthcare (ECG),Linear / Ridge,Attack_12,5,II,0.791497
Healthcare (ECG),Linear / Ridge,Attack_12,6,V3,0.762241
Healthcare (ECG),Linear / Ridge,Attack_12,7,V1,0.598316
Healthcare (ECG),Linear / Ridge,Attack_12,8,AVF,0.559271
Healthcare (ECG),Linear / Ridge,Attack_12,9,III,0.544410
Healthcare (ECG),Linear / Ridge,Attack_13,1,III,1.628683
Healthcare (ECG),Linear / Ridge,Attack_13,2,AVF,1.627135
Healthcare (ECG),Linear / Ridge,Attack_13,3,II,1.206309
Healthcare (ECG),Linear / Ridge,Attack_13,4,AVL,1.198490
Healthcare (ECG),Linear / Ridge,Attack_13,5,V4,1.060851
Healthcare (ECG),Linear / Ridge,Attack_13,6,V3,0.879152
Healthcare (ECG),Linear / Ridge,Attack_13,7,V1,0.672496
Healthcare (ECG),Linear / Ridge,Attack_13,8,I,0.653678
Healthcare (ECG),Linear / Ridge,Attack_13,9,V6,0.614900
Healthcare (ECG),Linear / Ridge,Attack_14,1,II,1.172846
Healthcare (ECG),Linear / Ridge,Attack_14,2,III,1.136457
Healthcare (ECG),Linear / Ridge,Attack_14,3,AVF,1.111235
Healthcare (ECG),Linear / Ridge,Attack_14,4,V4,0.912535
Healthcare (ECG),Linear / Ridge,Attack_14,5,AVL,0.902133
Healthcare (ECG),Linear / Ridge,Attack_14,6,I,0.827201
Healthcare (ECG),Linear / Ridge,Attack_14,7,V6,0.693695
Healthcare (ECG),Linear / Ridge,Attack_14,8,V1,0.520235
Healthcare (ECG),Linear / Ridge,Attack_14,9,V3,0.498540
Healthcare (ECG),Linear / Ridge,Attack_15,1,V6,2.689226
Healthcare (ECG),Linear / Ridge,Attack_15,2,V3,0.870187
Healthcare (ECG),Linear / Ridge,Attack_15,3,AVF,0.782204
Healthcare (ECG),Linear / Ridge,Attack_15,4,I,0.744215
Healthcare (ECG),Linear / Ridge,Attack_15,5,AVL,0.718651
Healthcare (ECG),Linear / Ridge,Attack_15,6,III,0.696086
Healthcare (ECG),Linear / Ridge,Attack_15,7,II,0.675174
Healthcare (ECG),Linear / Ridge,Attack_15,8,V4,0.670157
Healthcare (ECG),Linear / Ridge,Attack_15,9,V1,0.372799
Healthcare (ECG),Linear / Ridge,Attack_16,1,V4,1.133184
Healthcare (ECG),Linear / Ridge,Attack_16,2,V3,0.956994
Healthcare (ECG),Linear / Ridge,Attack_16,3,AVF,0.881961
Healthcare (ECG),Linear / Ridge,Attack_16,4,III,0.813997
Healthcare (ECG),Linear / Ridge,Attack_16,5,II,0.729021
Healthcare (ECG),Linear / Ridge,Attack_16,6,AVL,0.692464
Healthcare (ECG),Linear / Ridge,Attack_16,7,V6,0.523529
Healthcare (ECG),Linear / Ridge,Attack_16,8,V1,0.517773
Healthcare (ECG),Linear / Ridge,Attack_16,9,I,0.354305
Healthcare (ECG),Linear / Ridge,Attack_17,1,AVL,2.295401
Healthcare (ECG),Linear / Ridge,Attack_17,2,AVF,1.892300
Healthcare (ECG),Linear / Ridge,Attack_17,3,V6,1.712561
Healthcare (ECG),Linear / Ridge,Attack_17,4,III,1.632015
Healthcare (ECG),Linear / Ridge,Attack_17,5,I,1.438909
Healthcare (ECG),Linear / Ridge,Attack_17,6,II,1.214982
Healthcare (ECG),Linear / Ridge,Attack_17,7,V4,1.027280
Healthcare (ECG),Linear / Ridge,Attack_17,8,V3,0.671299
Healthcare (ECG),Linear / Ridge,Attack_17,9,V1,0.608470
Healthcare (ECG),Linear / Ridge,Attack_18,1,V6,1.322021
Healthcare (ECG),Linear / Ridge,Attack_18,2,V4,1.319023
Healthcare (ECG),Linear / Ridge,Attack_18,3,AVF,0.953267
Healthcare (ECG),Linear / Ridge,Attack_18,4,AVL,0.942405
Healthcare (ECG),Linear / Ridge,Attack_18,5,I,0.916749
Healthcare (ECG),Linear / Ridge,Attack_18,6,V3,0.870418
Healthcare (ECG),Linear / Ridge,Attack_18,7,II,0.865617
Healthcare (ECG),Linear / Ridge,Attack_18,8,III,0.734448
Healthcare (ECG),Linear / Ridge,Attack_18,9,V1,0.353054
Healthcare (ECG),Linear / Ridge,Attack_19,1,I,1.706648
Healthcare (ECG),Linear / Ridge,Attack_19,2,III,1.219329
Healthcare (ECG),Linear / Ridge,Attack_19,3,V6,1.144279
Healthcare (ECG),Linear / Ridge,Attack_19,4,AVL,0.946642
Healthcare (ECG),Linear / Ridge,Attack_19,5,V1,0.827876
Healthcare (ECG),Linear / Ridge,Attack_19,6,AVF,0.779173
Healthcare (ECG),Linear / Ridge,Attack_19,7,V4,0.731024
Healthcare (ECG),Linear / Ridge,Attack_19,8,V3,0.707782
Healthcare (ECG),Linear / Ridge,Attack_19,9,II,0.525955
Healthcare (ECG),Linear / Ridge,Attack_20,1,V3,2.132451
Healthcare (ECG),Linear / Ridge,Attack_20,2,V4,1.237955
Healthcare (ECG),Linear / Ridge,Attack_20,3,V6,0.742762
Healthcare (ECG),Linear / Ridge,Attack_20,4,I,0.461841
Healthcare (ECG),Linear / Ridge,Attack_20,5,III,0.440069
Healthcare (ECG),Linear / Ridge,Attack_20,6,V1,0.397406
Healthcare (ECG),Linear / Ridge,Attack_20,7,II,0.354413
Healthcare (ECG),Linear / Ridge,Attack_20,8,AVF,0.224653
Healthcare (ECG),Linear / Ridge,Attack_20,9,AVL,0.192334
Healthcare (ECG),Polynomial degree 3,Attack_1,1,AVL,3.451607
Healthcare (ECG),Polynomial degree 3,Attack_1,2,V6,1.818106
Healthcare (ECG),Polynomial degree 3,Attack_1,3,I,1.768371
Healthcare (ECG),Polynomial degree 3,Attack_1,4,III,1.578900
Healthcare (ECG),Polynomial degree 3,Attack_1,5,V4,1.210781
Healthcare (ECG),Polynomial degree 3,Attack_1,6,II,1.007379
Healthcare (ECG),Polynomial degree 3,Attack_1,7,AVF,0.908548
Healthcare (ECG),Polynomial degree 3,Attack_1,8,V3,0.886741
Healthcare (ECG),Polynomial degree 3,Attack_1,9,V1,0.750111
Healthcare (ECG),Polynomial degree 3,Attack_2,1,V4,2.999280
Healthcare (ECG),Polynomial degree 3,Attack_2,2,II,2.685560
Healthcare (ECG),Polynomial degree 3,Attack_2,3,AVF,2.188246
Healthcare (ECG),Polynomial degree 3,Attack_2,4,I,1.979209
Healthcare (ECG),Polynomial degree 3,Attack_2,5,III,1.716987
Healthcare (ECG),Polynomial degree 3,Attack_2,6,V3,1.600750
Healthcare (ECG),Polynomial degree 3,Attack_2,7,V6,1.387993
Healthcare (ECG),Polynomial degree 3,Attack_2,8,V1,1.282591
Healthcare (ECG),Polynomial degree 3,Attack_2,9,AVL,1.049090
Healthcare (ECG),Polynomial degree 3,Attack_3,1,V3,2.207856
Healthcare (ECG),Polynomial degree 3,Attack_3,2,III,1.763233
Healthcare (ECG),Polynomial degree 3,Attack_3,3,AVF,1.755877
Healthcare (ECG),Polynomial degree 3,Attack_3,4,V4,1.557246
Healthcare (ECG),Polynomial degree 3,Attack_3,5,II,1.442561
Healthcare (ECG),Polynomial degree 3,Attack_3,6,I,1.026120
Healthcare (ECG),Polynomial degree 3,Attack_3,7,AVL,0.818282
Healthcare (ECG),Polynomial degree 3,Attack_3,8,V1,0.618090
Healthcare (ECG),Polynomial degree 3,Attack_3,9,V6,0.586056
Healthcare (ECG),Polynomial degree 3,Attack_4,1,II,2.229305
Healthcare (ECG),Polynomial degree 3,Attack_4,2,AVF,2.205615
Healthcare (ECG),Polynomial degree 3,Attack_4,3,III,2.186778
Healthcare (ECG),Polynomial degree 3,Attack_4,4,I,1.648679
Healthcare (ECG),Polynomial degree 3,Attack_4,5,V4,1.570712
Healthcare (ECG),Polynomial degree 3,Attack_4,6,V3,1.353653
Healthcare (ECG),Polynomial degree 3,Attack_4,7,V6,0.889694
Healthcare (ECG),Polynomial degree 3,Attack_4,8,AVL,0.643385
Healthcare (ECG),Polynomial degree 3,Attack_4,9,V1,0.416038
Healthcare (ECG),Polynomial degree 3,Attack_5,1,III,0.895757
Healthcare (ECG),Polynomial degree 3,Attack_5,2,V1,0.867522
Healthcare (ECG),Polynomial degree 3,Attack_5,3,AVL,0.865259
Healthcare (ECG),Polynomial degree 3,Attack_5,4,I,0.833869
Healthcare (ECG),Polynomial degree 3,Attack_5,5,V6,0.765933
Healthcare (ECG),Polynomial degree 3,Attack_5,6,V3,0.719488
Healthcare (ECG),Polynomial degree 3,Attack_5,7,AVF,0.717070
Healthcare (ECG),Polynomial degree 3,Attack_5,8,V4,0.686752
Healthcare (ECG),Polynomial degree 3,Attack_5,9,II,0.630013
Healthcare (ECG),Polynomial degree 3,Attack_6,1,AVF,2.285698
Healthcare (ECG),Polynomial degree 3,Attack_6,2,III,2.206571
Healthcare (ECG),Polynomial degree 3,Attack_6,3,II,1.991534
Healthcare (ECG),Polynomial degree 3,Attack_6,4,V4,1.365546
Healthcare (ECG),Polynomial degree 3,Attack_6,5,V3,1.229900
Healthcare (ECG),Polynomial degree 3,Attack_6,6,I,1.163147
Healthcare (ECG),Polynomial degree 3,Attack_6,7,V6,0.887991
Healthcare (ECG),Polynomial degree 3,Attack_6,8,V1,0.700792
Healthcare (ECG),Polynomial degree 3,Attack_6,9,AVL,0.498138
Healthcare (ECG),Polynomial degree 3,Attack_7,1,I,1.541258
Healthcare (ECG),Polynomial degree 3,Attack_7,2,V3,1.369627
Healthcare (ECG),Polynomial degree 3,Attack_7,3,II,1.247071
Healthcare (ECG),Polynomial degree 3,Attack_7,4,AVL,1.121731
Healthcare (ECG),Polynomial degree 3,Attack_7,5,V4,1.012955
Healthcare (ECG),Polynomial degree 3,Attack_7,6,AVF,0.847998
Healthcare (ECG),Polynomial degree 3,Attack_7,7,V6,0.771061
Healthcare (ECG),Polynomial degree 3,Attack_7,8,III,0.684946
Healthcare (ECG),Polynomial degree 3,Attack_7,9,V1,0.550710
Healthcare (ECG),Polynomial degree 3,Attack_8,1,I,2.086460
Healthcare (ECG),Polynomial degree 3,Attack_8,2,AVL,2.023493
Healthcare (ECG),Polynomial degree 3,Attack_8,3,V4,1.403674
Healthcare (ECG),Polynomial degree 3,Attack_8,4,V3,1.380111
Healthcare (ECG),Polynomial degree 3,Attack_8,5,III,1.317927
