Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_3,23,XMEAS_25,0.840390
Industrial (TEP),Linear / Ridge,Fault_3,24,XMEAS_3,0.762362
Industrial (TEP),Linear / Ridge,Fault_3,25,XMEAS_29,0.735087
Industrial (TEP),Linear / Ridge,Fault_4,1,XMV_10,21.709637
Industrial (TEP),Linear / Ridge,Fault_4,2,XMV_5,5.970989
Industrial (TEP),Linear / Ridge,Fault_4,3,XMEAS_18,3.372922
Industrial (TEP),Linear / Ridge,Fault_4,4,XMV_6,3.093391
Industrial (TEP),Linear / Ridge,Fault_4,5,XMEAS_20,3.064039
Industrial (TEP),Linear / Ridge,Fault_4,6,XMEAS_33,2.856470
Industrial (TEP),Linear / Ridge,Fault_4,7,XMV_1,2.827350
Industrial (TEP),Linear / Ridge,Fault_4,8,XMEAS_27,2.209399
Industrial (TEP),Linear / Ridge,Fault_4,9,XMEAS_21,2.192201
Industrial (TEP),Linear / Ridge,Fault_4,10,XMEAS_7,2.069470
Industrial (TEP),Linear / Ridge,Fault_4,11,XMEAS_4,2.057279
Industrial (TEP),Linear / Ridge,Fault_4,12,XMEAS_13,2.051178
Industrial (TEP),Linear / Ridge,Fault_4,13,XMV_9,2.038945
Industrial (TEP),Linear / Ridge,Fault_4,14,XMEAS_17,1.839102
Industrial (TEP),Linear / Ridge,Fault_4,15,XMV_3,1.723095
Industrial (TEP),Linear / Ridge,Fault_4,16,XMEAS_1,1.515184
Industrial (TEP),Linear / Ridge,Fault_4,17,XMEAS_11,1.476987
Industrial (TEP),Linear / Ridge,Fault_4,18,XMEAS_16,1.326940
Industrial (TEP),Linear / Ridge,Fault_4,19,XMEAS_31,1.239557
Industrial (TEP),Linear / Ridge,Fault_4,20,XMEAS_38,1.217811
Industrial (TEP),Linear / Ridge,Fault_4,21,XMEAS_2,1.069911
Industrial (TEP),Linear / Ridge,Fault_4,22,XMEAS_34,0.831878
Industrial (TEP),Linear / Ridge,Fault_4,23,XMEAS_25,0.822163
Industrial (TEP),Linear / Ridge,Fault_4,24,XMEAS_3,0.812113
Industrial (TEP),Linear / Ridge,Fault_4,25,XMEAS_29,0.735197
Industrial (TEP),Linear / Ridge,Fault_5,1,XMV_5,24.966000
Industrial (TEP),Linear / Ridge,Fault_5,2,XMV_9,8.789793
Industrial (TEP),Linear / Ridge,Fault_5,3,XMEAS_21,8.443926
Industrial (TEP),Linear / Ridge,Fault_5,4,XMEAS_33,7.312643
Industrial (TEP),Linear / Ridge,Fault_5,5,XMEAS_18,7.258094
Industrial (TEP),Linear / Ridge,Fault_5,6,XMEAS_20,5.758024
Industrial (TEP),Linear / Ridge,Fault_5,7,XMEAS_16,5.718496
Industrial (TEP),Linear / Ridge,Fault_5,8,XMEAS_1,5.562639
Industrial (TEP),Linear / Ridge,Fault_5,9,XMEAS_38,4.502763
Industrial (TEP),Linear / Ridge,Fault_5,10,XMEAS_4,4.223016
Industrial (TEP),Linear / Ridge,Fault_5,11,XMEAS_11,4.058282
Industrial (TEP),Linear / Ridge,Fault_5,12,XMEAS_13,3.995749
Industrial (TEP),Linear / Ridge,Fault_5,13,XMEAS_31,3.940103
Industrial (TEP),Linear / Ridge,Fault_5,14,XMEAS_7,3.714289
Industrial (TEP),Linear / Ridge,Fault_5,15,XMV_6,3.492773
Industrial (TEP),Linear / Ridge,Fault_5,16,XMEAS_25,3.403120
Industrial (TEP),Linear / Ridge,Fault_5,17,XMV_3,3.140766
Industrial (TEP),Linear / Ridge,Fault_5,18,XMV_1,2.500501
Industrial (TEP),Linear / Ridge,Fault_5,19,XMEAS_27,2.430958
Industrial (TEP),Linear / Ridge,Fault_5,20,XMV_10,2.271791
Industrial (TEP),Linear / Ridge,Fault_5,21,XMEAS_17,2.078501
Industrial (TEP),Linear / Ridge,Fault_5,22,XMEAS_3,2.018874
Industrial (TEP),Linear / Ridge,Fault_5,23,XMEAS_29,1.666926
Industrial (TEP),Linear / Ridge,Fault_5,24,XMEAS_34,1.320972
Industrial (TEP),Linear / Ridge,Fault_5,25,XMEAS_2,0.869938
Industrial (TEP),Linear / Ridge,Fault_6,1,XMV_10,187.909049
Industrial (TEP),Linear / Ridge,Fault_6,2,XMEAS_20,100.835140
Industrial (TEP),Linear / Ridge,Fault_6,3,XMV_3,69.523726
Industrial (TEP),Linear / Ridge,Fault_6,4,XMV_5,43.449455
Industrial (TEP),Linear / Ridge,Fault_6,5,XMEAS_16,34.450043
Industrial (TEP),Linear / Ridge,Fault_6,6,XMEAS_34,30.814279
Industrial (TEP),Linear / Ridge,Fault_6,7,XMEAS_31,29.943400
Industrial (TEP),Linear / Ridge,Fault_6,8,XMEAS_25,24.178817
Industrial (TEP),Linear / Ridge,Fault_6,9,XMEAS_13,18.242256
Industrial (TEP),Linear / Ridge,Fault_6,10,XMEAS_18,16.500202
Industrial (TEP),Linear / Ridge,Fault_6,11,XMEAS_21,15.902137
Industrial (TEP),Linear / Ridge,Fault_6,12,XMV_6,11.355345
Industrial (TEP),Linear / Ridge,Fault_6,13,XMEAS_1,10.219416
Industrial (TEP),Linear / Ridge,Fault_6,14,XMEAS_7,10.094556
