Dataset,Model,Model Variant,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC_ROC,AUC_PR
Healthcare (ECG),TS-CAM-UV,Linear / Ridge,0.037820,662,73,1382,998,0.6562,0.9007,0.3988,0.5528,0.7593,0.8113
Healthcare (ECG),TS-CAM-UV,Polynomial degree 3,0.055137,423,73,1382,1237,0.5795,0.8528,0.2548,0.3924,0.7539,0.7779
Healthcare (ECG),TS-CAM-UV,RBF + Ridge,0.051087,474,73,1382,1186,0.5958,0.8665,0.2855,0.4295,0.7729,0.7918
